time,x,y
18.900000,1049,404
18.933333,1049,403
18.966667,1050,403
19.000000,1051,403
19.033333,1052,404
19.066667,1053,405
19.100000,1053,406
19.133333,1053,406
19.166667,1055,410
19.200000,1055,410
19.233333,1056,416
19.266667,1056,419
19.300000,1057,422
19.333333,1058,425
19.366667,1058,429
19.400000,1058,434
19.433333,1058,439
19.466667,1059,445
19.500000,1059,450
19.533333,1060,455
19.566667,1060,460
19.600000,1061,466
19.633333,1060,472
19.666667,1060,472
19.700000,1060,486
19.733333,1061,493
19.766667,1061,500
19.800000,1061,506
19.833333,1061,514
19.866667,1060,521
19.900000,1060,529
19.933333,1060,536
19.966667,1060,544
20.000000,1060,551
20.033333,1060,559
20.066667,1060,567
20.100000,1059,574
20.133333,1059,582
20.166667,1059,582
20.200000,1057,597
20.233333,1057,597
20.266667,1056,612
20.300000,1055,619
20.333333,1055,627
20.366667,1054,633
20.400000,1054,641
20.433333,1053,647
20.466667,1052,653
20.500000,1051,660
20.533333,1050,666
20.566667,1049,672
20.600000,1048,678
20.633333,1047,683
20.666667,1046,689
20.700000,1046,689
20.733333,1044,699
20.766667,1043,703
20.800000,1042,708
20.833333,1041,711
20.866667,1040,715
20.900000,1039,719
20.933333,1038,722
20.966667,1036,724
21.000000,1035,727
21.033333,1033,729
21.066667,1032,731
21.100000,1030,732
21.133333,1029,733
21.166667,1029,733
21.200000,1027,734
21.233333,1027,734
21.266667,1024,733
21.300000,1023,733
21.333333,1021,732
21.366667,1019,730
21.400000,1018,728
21.433333,1017,726
21.466667,1015,723
21.500000,1014,721
21.533333,1012,717
21.566667,1011,714
21.600000,1009,710
21.633333,1008,706
21.666667,1007,702
21.700000,1007,702
21.733333,1005,692
21.766667,1005,692
21.800000,1002,681
21.833333,1001,676
21.866667,999,670
21.900000,998,664
21.933333,997,658
21.966667,995,651
22.000000,995,645
22.033333,994,638
22.066667,993,630
22.100000,992,623
22.133333,991,616
22.166667,990,609
22.200000,989,601
22.233333,989,601
22.266667,987,586
22.300000,986,579
22.333333,986,572
22.366667,985,565
22.400000,984,557
22.433333,983,549
22.466667,983,542
22.500000,983,535
22.533333,982,527
22.566667,982,520
22.600000,981,513
22.633333,981,506
22.666667,981,500
22.700000,981,500
22.733333,980,486
22.766667,980,486
22.800000,979,474
22.833333,979,474
22.866667,979,462
22.900000,979,457
22.933333,979,451
22.966667,979,446
23.000000,979,441
23.033333,980,437
23.066667,980,433
23.100000,980,428
23.133333,980,425
23.166667,980,421
23.200000,980,418
23.233333,981,416
23.266667,981,413
23.300000,981,413
23.333333,982,409
23.366667,983,408
23.400000,984,407
23.433333,984,405
23.466667,985,405
23.500000,986,405
23.533333,987,406
23.566667,987,407
23.600000,988,408
23.633333,989,409
23.666667,990,411
23.700000,991,413
23.733333,992,415
23.766667,992,415
23.800000,994,421
23.833333,994,421
23.866667,996,428
23.900000,997,432
23.933333,998,436
23.966667,999,441
24.000000,1001,446
24.033333,1002,452
24.066667,1003,457
24.100000,1004,463
24.133333,1005,468
24.166667,1007,475
24.200000,1008,481
24.233333,1010,487
24.266667,1011,494
24.300000,1013,501
24.333333,1014,508
24.366667,1014,508
24.400000,1017,522
24.433333,1018,530
24.466667,1019,537
24.500000,1021,545
24.533333,1022,552
24.566667,1024,560
24.600000,1025,567
24.633333,1026,575
24.666667,1028,583
24.700000,1029,590
24.733333,1031,598
24.766667,1032,605
24.800000,1032,605
24.833333,1035,620
24.866667,1036,627
24.900000,1036,627
24.933333,1039,641
24.966667,1040,647
25.000000,1041,654
25.033333,1042,660
25.066667,1044,666
25.100000,1045,672
25.133333,1046,677
25.166667,1047,683
25.200000,1049,689
25.233333,1050,694
25.266667,1051,699
25.300000,1052,703
25.333333,1052,703
25.366667,1054,711
25.400000,1054,714
25.433333,1055,718
25.466667,1056,721
25.500000,1057,724
25.533333,1057,726
25.566667,1058,728
25.600000,1059,730
25.633333,1060,731
25.666667,1060,732
25.700000,1061,733
25.733333,1061,733
25.766667,1061,733
25.800000,1061,733
25.833333,1062,732
25.866667,1062,730
25.900000,1062,730
25.933333,1062,727
25.966667,1062,725
26.000000,1062,723
26.033333,1062,720
26.066667,1062,716
26.100000,1062,713
26.133333,1062,710
26.166667,1061,705
26.200000,1061,701
26.233333,1061,696
26.266667,1060,692
26.300000,1060,687
26.333333,1060,687
26.366667,1058,675
26.400000,1058,670
26.433333,1058,663
26.466667,1057,657
26.500000,1056,650
26.533333,1056,644
26.566667,1055,637
26.600000,1054,630
26.633333,1053,623
26.666667,1052,615
26.700000,1052,608
26.733333,1050,600
26.766667,1050,600
26.800000,1049,586
26.833333,1047,578
26.866667,1047,578
26.900000,1046,563
26.933333,1045,556
26.966667,1044,548
27.000000,1042,540
27.033333,1041,533
27.066667,1041,533
27.100000,1039,519
27.133333,1037,512
27.166667,1036,505
27.200000,1035,498
27.233333,1033,491
27.266667,1033,491
27.300000,1032,484
27.333333,1031,478
27.366667,1030,472
27.400000,1030,472
27.433333,1027,460
27.466667,1026,455
27.500000,1024,449
27.533333,1023,444
27.566667,1023,444
27.600000,1020,435
27.633333,1019,431
27.666667,1017,426
27.700000,1016,423
27.733333,1015,420
27.766667,1014,417
27.800000,1013,414
27.833333,1012,412
27.866667,1010,410
27.900000,1009,408
27.933333,1008,407
27.966667,1006,406
28.000000,1005,406
28.033333,1004,405
28.066667,1004,405
28.100000,1002,406
28.133333,1001,407
28.166667,1000,408
28.200000,999,409
28.233333,998,411
28.266667,997,414
28.300000,996,416
28.333333,995,418
28.366667,995,418
28.400000,993,425
28.433333,993,429
28.466667,991,433
28.500000,991,438
28.533333,990,442
28.566667,990,442
28.600000,989,453
28.633333,988,458
28.666667,988,464
